mse,pearson,target_gene
0.5795237421989441,0.99762475,TCF3
1.5373148918151855,0.98909324,TADA1
0.2955227792263031,0.9977641,FOXH1
7.022367477416992,0.953257,SMARCA4
2.63724946975708,0.9843645,SMARCA5
0.34184136986732483,0.99733686,HIRA
0.39655688405036926,0.99777836,RAB3B
0.2974020838737488,0.9984065,IGF2R
0.41455352306365967,0.99672925,SNCA
0.38269439339637756,0.99773604,TMBIM6
0.37137192487716675,0.9975265,DAXX
3.892632484436035,0.96841174,METTL14
1.2398298978805542,0.99386996,METTL17
0.42751798033714294,0.9967182,PRR12
2.5607404708862305,0.9808975,EPB41L2
